Tweet ID,Text,Location,label
1654499204243374082,hola crunchyroll con motivo del cumple de gon de hunterxhunter y luffy onepiece el 5 de mayo el 9 de mayo el gokuday de dragonball ¿podrian un día hacer un especial y stream de esos personajes que nos gustan😊🧡 sekkyoku hazustark sería muy chido y guay saludos👍😊👌,Argentina,ARG
1652705147850555392,me enseñó que la confianza es lo más heavy que hay ¿moviste peri y fue guay mejor no cantes como mary j blige increíble danoziontifik te amo hdp,Argentina,ES
1650141627627831298,guay tiene el efecto navarro lo de jugar a la mañana no le sienta hasta ahora 1 bien y 5 mal,Argentina,ES
1649940473023283202,ginlagatita obvioooooo las más guay bella y con ojazos del unvierso🥰😍🥰😍😍 y ahhhjjj abogata🤗🤗🤗🤗,Argentina,ARG
1651406771834048515,pichetto lleva la misma receta que de la torre con eso del trumpismo cutre pero miguel en pba lo apoya a santilli 😵‍💫,Argentina,ARG
1656321792108052482,maartinveliz ratabets ala chaval tu si que sabes,Argentina,ES
1654832387564400645,gerardo gandini y a pesar de la adolescencia dorada del chaval ya tiene edad suficiente para escucharlo y disfrutarlo suelten,Argentina,ARG
1654199817449492494,franciscorp22 el chaval cafetero era hora que se ponga a punto físicamente pero san lucas no puede salir,Argentina,ES
1652553894549913600,elpardua fui a la tornopleteria y había cerrado por suerte ahí nomás me tropecé con un carnisolín de taburete que alguien había botado en la acera ¡enhorabuena chaval me dije y lo he adaptado con un poco de fuerza centrípeta casi es un tornoplete,Argentina,ES
1652240254412238849,claro que si chaval ⚪️🔴⚪️,Argentina,ES
1650140438274142208,muy mamá vení a jugar un partido en el norte 🇦🇷 y te morís chaval jajaja 😂😂😂,Argentina,ARG
1646973284133527559,🍌hoy paja grupal con camara abierta para el que quiera🍌 2100hs🇦🇷 1800hs🇲🇽 200hs🇪🇸 link rt asi crezca la comunidad mas pajera y ramdon de internet 😛 twink videollamada skype vivo gayargentina gaymexico gayespaña pibe chavo chaval,Argentina,ARG
1654949010233278465,florcit0 son unos salchichas manipuladores sin cojones a ver hablando en serio los buenos empleados que quieran hacer híbrido o remoto 100 se vana ir a otra empresa que se los permita se van a quedar con la escoria,Argentina,ES
1654560981505253377,disen ser buenos y resultan gusanos ami sin cojones que tu seas fulano👹,Argentina,ES
1654352414802321408,linasproused carol52675519 eduaguirre7 tiene más cojones que él hasta salió a felicitar a la fifa por su mundial,Argentina,ES
1654293692969021440,que cojones todavía yo te quiero,Argentina,ES
1653529000826875905,pa qué cojones sirve arrepentirse,Argentina,ES
1653186417751740416,conseguirá apoyo del electorado si ganase podría hacer una buena gestión no es cuestión solamente de imagen física o carisma sino de cojones,Argentina,ES
1652155696715005952,ustedes tienen cojones a cuenta de otro 😆😆,Argentina,ES
1651821003100631041,delfinawagner solanogod feo de cojones en bcn estaba copito de nieve en mi época,Argentina,ES
1651404948075061249,nadie tiene los cojones para aplicar el plan motosierra todos se quejan del gasto público pero nadie lo baja,Argentina,ES
1651174306926264323,vaya cojones hay que tenerlos bien puestos o estar loco de remate,Argentina,ES
1650996091720966150,fum4tr0n pero esto no es novedad esto es lo normal o a caso pensamos que todos los tienen en blanco y con jornada completa encima hay que darle las gracias al comemierda ese se trabaja con 50 grados o más en el invernadero en verano que lo haga el con sus cojones negrero,Argentina,ES
1650658115245752320,rinconet estos dos delincuentes no cambiaron la historia la historia la cambio quien fue el padre de la democracia un 10 de diciembre de 1983 que tuvo los cojones que uds no tuvieron de enjuiciar a un gobierno militar no seas cínica,Argentina,ARG
1650217638298017793,twittea para verle los cojones a hiroshi,Argentina,ES
1649986117809192960,me levanto en defensa de cristian que tiene la personalidad para hacer lo que le sale de los cojones 🙌🏾🙌🏾🙌🏾🙌🏾 ya quisiera yo ser así y clavarme hilo este verano god save cristian en este mundo tan inclusivo hoy critican a un cuerpo libre… somos incongruentes como sociedad,Argentina,ES
1648770891013038080,patoma89 datazopincha tenes razón pero asi como hay gallinas cacareando por la final en madrid nosotros los pinchas guardamos con especial y dulce recuerdo como los destrozamos en el 2006 en cancha de velez en un campeonato digno de un ganador con cojones y no amargos pechos frios como boquitaabur,Argentina,ES
1648508167280816130,cojones,Argentina,ES
1645472482072068120,con la posibilidad de meter a rámirez en el 11 inicial con qué equipo te le vas a plantar a river en el monumental yo voy así con dos cojones durso bbs morales felipe colazo steimbach miramón bolívar muro soldano y tarra gelp,Argentina,ARG
1645217302491672576,hay mil teorias conspirativas contra larreta voten y dejen de joder si queres gob caba tenes q tener cojones no entrar escondido en una sabana,Argentina,ARG
1655779454927380481,estoy que flipo,Argentina,ES
1655217565176586240,y no imagines a mi lado ese futuro perfecto porque todo lo que toco yo lo acabo rompiendo y es cierto que yo lo flipo con esto pero mejor vernos menos como el sol en invierno,Argentina,ES
1652463952758972417,apis2019 terminando la segunda temporada de el reino flipo,Argentina,ES
1656333492786020352,tremendo el menú que arme para hoy pollo al horno con verduras y un arroz con queso de la hostia 🤤,Argentina,ES
1653905406630961152,hoy perdí toda la tarde reclamando❗️lpm❗️ 1ro a litoral gas xq me cambiaron de n3 a n1 en subsidio me contestaron cquier fruta entro a miargy no me reconoce dni ni mail ni hostia otro reclamo x mala segmentación en litoral gas y epe😤 conmigo no chiques se las seguiré❗️,Argentina,ARG
1653134937959047173,la visita de lujo al crack de ruizgerry un día de la hostía a todo culo con vicente jdegourville leandrotorrenti y quién escribe,Argentina,ES
1652301390432141312,dizilah la belleza de esta serie conmueve es distinta a todas y perfectamente escrita la actuación del elenco es impecabley párrafo aparte buraktozkoparan un actor de la hostia ateskuslari gulbar ilaydalisan buraktozkoparan 💞💞💞💞💞💞💞 💞🇦🇷💞🇦🇷💞🇦🇷💞,Argentina,ES
1652183054507556865,volviendo del mastersofrock reflexiono me duelen los pies la espalda la cintura en 30 y paulstanleylive se colgó de un arnés con sus 71 años además bancó unas plataformas tremendas y se mandó un show de la re hostia,Argentina,ARG
1651789084870733824,sisi una capitán de la hostia en la final hizo que un jugador de riber no lo expulsen pedazo de capitán te dejaba a gamba siempre,Argentina,ES
1650034481519001605,qué actriz de la re hostia es mi señora julieta díaz,Argentina,ES
1649437329973551104,guadavazquez diegobranca no nos olvidamos de la fiestita de olivos guadalupe vos sos una periodista de la hostia el otro es un mercenario,Argentina,ARG
1648135099047727105,parte de ser adulto al menos para mí es reconocer que al menos un poco de aquello que nos molesta es un reflejo de nosotros mismos y que si bien es más fácil echar culpas que hacerse cargo lo segundo es esencial para estar bien con uno mismo dicho esto es necesario,Argentina,ES
1647924597348605952,tiempoarg sipreba delegadosclarin pero no los indemnizaron una empresa tiene el derecho de echar empleados es un bajón salir a buscar laburo pero no se puede obligar a una empresa a mantener su planta de empleados al menos el sector privado semaneja así,Argentina,ARG
1647015318231957507,peladodecronica gerardomorales ucrnacional si no hay q dinamitar nada tenemos q achicar gastos de la política echar a los q no trabajan en el estado modificar las leyes laborales menos delegados por cantidad de trabajadores menos ministerios orden respeto por la ley,Argentina,ARG
